source_file,variant_file,transform_family,transform_name,parameter
base\ILSVRC2012_val_00000002.JPEG,brightness_0p85\ILSVRC2012_val_00000002__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000002.JPEG,brightness_1p15\ILSVRC2012_val_00000002__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000002.JPEG,contrast_0p85\ILSVRC2012_val_00000002__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000002.JPEG,contrast_1p15\ILSVRC2012_val_00000002__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000002.JPEG,colourshift_r_p20\ILSVRC2012_val_00000002__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000002.JPEG,colourshift_g_p20\ILSVRC2012_val_00000002__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000002.JPEG,colourshift_b_p20\ILSVRC2012_val_00000002__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000002.JPEG,jpeg_q90\ILSVRC2012_val_00000002__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000002.JPEG,jpeg_q75\ILSVRC2012_val_00000002__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000002.JPEG,jpeg_q60\ILSVRC2012_val_00000002__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000002.JPEG,resize_0p75\ILSVRC2012_val_00000002__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000002.JPEG,resize_0p5\ILSVRC2012_val_00000002__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000002.JPEG,crop_center_0p9\ILSVRC2012_val_00000002__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000002.JPEG,crop_center_0p75\ILSVRC2012_val_00000002__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000002.JPEG,rotate_p2\ILSVRC2012_val_00000002__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000002.JPEG,rotate_n2\ILSVRC2012_val_00000002__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000002.JPEG,format_png\ILSVRC2012_val_00000002__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000003.JPEG,brightness_0p85\ILSVRC2012_val_00000003__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000003.JPEG,brightness_1p15\ILSVRC2012_val_00000003__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000003.JPEG,contrast_0p85\ILSVRC2012_val_00000003__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000003.JPEG,contrast_1p15\ILSVRC2012_val_00000003__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000003.JPEG,colourshift_r_p20\ILSVRC2012_val_00000003__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000003.JPEG,colourshift_g_p20\ILSVRC2012_val_00000003__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000003.JPEG,colourshift_b_p20\ILSVRC2012_val_00000003__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000003.JPEG,jpeg_q90\ILSVRC2012_val_00000003__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000003.JPEG,jpeg_q75\ILSVRC2012_val_00000003__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000003.JPEG,jpeg_q60\ILSVRC2012_val_00000003__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000003.JPEG,resize_0p75\ILSVRC2012_val_00000003__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000003.JPEG,resize_0p5\ILSVRC2012_val_00000003__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000003.JPEG,crop_center_0p9\ILSVRC2012_val_00000003__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000003.JPEG,crop_center_0p75\ILSVRC2012_val_00000003__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000003.JPEG,rotate_p2\ILSVRC2012_val_00000003__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000003.JPEG,rotate_n2\ILSVRC2012_val_00000003__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000003.JPEG,format_png\ILSVRC2012_val_00000003__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000004.JPEG,brightness_0p85\ILSVRC2012_val_00000004__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000004.JPEG,brightness_1p15\ILSVRC2012_val_00000004__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000004.JPEG,contrast_0p85\ILSVRC2012_val_00000004__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000004.JPEG,contrast_1p15\ILSVRC2012_val_00000004__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000004.JPEG,colourshift_r_p20\ILSVRC2012_val_00000004__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000004.JPEG,colourshift_g_p20\ILSVRC2012_val_00000004__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000004.JPEG,colourshift_b_p20\ILSVRC2012_val_00000004__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000004.JPEG,jpeg_q90\ILSVRC2012_val_00000004__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000004.JPEG,jpeg_q75\ILSVRC2012_val_00000004__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000004.JPEG,jpeg_q60\ILSVRC2012_val_00000004__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000004.JPEG,resize_0p75\ILSVRC2012_val_00000004__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000004.JPEG,resize_0p5\ILSVRC2012_val_00000004__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000004.JPEG,crop_center_0p9\ILSVRC2012_val_00000004__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000004.JPEG,crop_center_0p75\ILSVRC2012_val_00000004__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000004.JPEG,rotate_p2\ILSVRC2012_val_00000004__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000004.JPEG,rotate_n2\ILSVRC2012_val_00000004__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000004.JPEG,format_png\ILSVRC2012_val_00000004__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000005.JPEG,brightness_0p85\ILSVRC2012_val_00000005__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000005.JPEG,brightness_1p15\ILSVRC2012_val_00000005__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000005.JPEG,contrast_0p85\ILSVRC2012_val_00000005__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000005.JPEG,contrast_1p15\ILSVRC2012_val_00000005__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000005.JPEG,colourshift_r_p20\ILSVRC2012_val_00000005__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000005.JPEG,colourshift_g_p20\ILSVRC2012_val_00000005__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000005.JPEG,colourshift_b_p20\ILSVRC2012_val_00000005__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000005.JPEG,jpeg_q90\ILSVRC2012_val_00000005__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000005.JPEG,jpeg_q75\ILSVRC2012_val_00000005__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000005.JPEG,jpeg_q60\ILSVRC2012_val_00000005__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000005.JPEG,resize_0p75\ILSVRC2012_val_00000005__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000005.JPEG,resize_0p5\ILSVRC2012_val_00000005__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000005.JPEG,crop_center_0p9\ILSVRC2012_val_00000005__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000005.JPEG,crop_center_0p75\ILSVRC2012_val_00000005__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000005.JPEG,rotate_p2\ILSVRC2012_val_00000005__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000005.JPEG,rotate_n2\ILSVRC2012_val_00000005__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000005.JPEG,format_png\ILSVRC2012_val_00000005__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000006.JPEG,brightness_0p85\ILSVRC2012_val_00000006__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000006.JPEG,brightness_1p15\ILSVRC2012_val_00000006__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000006.JPEG,contrast_0p85\ILSVRC2012_val_00000006__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000006.JPEG,contrast_1p15\ILSVRC2012_val_00000006__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000006.JPEG,colourshift_r_p20\ILSVRC2012_val_00000006__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000006.JPEG,colourshift_g_p20\ILSVRC2012_val_00000006__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000006.JPEG,colourshift_b_p20\ILSVRC2012_val_00000006__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000006.JPEG,jpeg_q90\ILSVRC2012_val_00000006__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000006.JPEG,jpeg_q75\ILSVRC2012_val_00000006__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000006.JPEG,jpeg_q60\ILSVRC2012_val_00000006__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000006.JPEG,resize_0p75\ILSVRC2012_val_00000006__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000006.JPEG,resize_0p5\ILSVRC2012_val_00000006__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000006.JPEG,crop_center_0p9\ILSVRC2012_val_00000006__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000006.JPEG,crop_center_0p75\ILSVRC2012_val_00000006__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000006.JPEG,rotate_p2\ILSVRC2012_val_00000006__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000006.JPEG,rotate_n2\ILSVRC2012_val_00000006__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000006.JPEG,format_png\ILSVRC2012_val_00000006__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000007.JPEG,brightness_0p85\ILSVRC2012_val_00000007__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000007.JPEG,brightness_1p15\ILSVRC2012_val_00000007__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000007.JPEG,contrast_0p85\ILSVRC2012_val_00000007__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000007.JPEG,contrast_1p15\ILSVRC2012_val_00000007__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000007.JPEG,colourshift_r_p20\ILSVRC2012_val_00000007__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000007.JPEG,colourshift_g_p20\ILSVRC2012_val_00000007__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000007.JPEG,colourshift_b_p20\ILSVRC2012_val_00000007__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000007.JPEG,jpeg_q90\ILSVRC2012_val_00000007__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000007.JPEG,jpeg_q75\ILSVRC2012_val_00000007__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000007.JPEG,jpeg_q60\ILSVRC2012_val_00000007__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000007.JPEG,resize_0p75\ILSVRC2012_val_00000007__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000007.JPEG,resize_0p5\ILSVRC2012_val_00000007__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000007.JPEG,crop_center_0p9\ILSVRC2012_val_00000007__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000007.JPEG,crop_center_0p75\ILSVRC2012_val_00000007__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000007.JPEG,rotate_p2\ILSVRC2012_val_00000007__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000007.JPEG,rotate_n2\ILSVRC2012_val_00000007__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000007.JPEG,format_png\ILSVRC2012_val_00000007__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000008.JPEG,brightness_0p85\ILSVRC2012_val_00000008__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000008.JPEG,brightness_1p15\ILSVRC2012_val_00000008__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000008.JPEG,contrast_0p85\ILSVRC2012_val_00000008__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000008.JPEG,contrast_1p15\ILSVRC2012_val_00000008__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000008.JPEG,colourshift_r_p20\ILSVRC2012_val_00000008__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000008.JPEG,colourshift_g_p20\ILSVRC2012_val_00000008__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000008.JPEG,colourshift_b_p20\ILSVRC2012_val_00000008__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000008.JPEG,jpeg_q90\ILSVRC2012_val_00000008__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000008.JPEG,jpeg_q75\ILSVRC2012_val_00000008__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000008.JPEG,jpeg_q60\ILSVRC2012_val_00000008__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000008.JPEG,resize_0p75\ILSVRC2012_val_00000008__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000008.JPEG,resize_0p5\ILSVRC2012_val_00000008__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000008.JPEG,crop_center_0p9\ILSVRC2012_val_00000008__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000008.JPEG,crop_center_0p75\ILSVRC2012_val_00000008__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000008.JPEG,rotate_p2\ILSVRC2012_val_00000008__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000008.JPEG,rotate_n2\ILSVRC2012_val_00000008__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000008.JPEG,format_png\ILSVRC2012_val_00000008__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000009.JPEG,brightness_0p85\ILSVRC2012_val_00000009__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000009.JPEG,brightness_1p15\ILSVRC2012_val_00000009__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000009.JPEG,contrast_0p85\ILSVRC2012_val_00000009__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000009.JPEG,contrast_1p15\ILSVRC2012_val_00000009__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000009.JPEG,colourshift_r_p20\ILSVRC2012_val_00000009__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000009.JPEG,colourshift_g_p20\ILSVRC2012_val_00000009__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000009.JPEG,colourshift_b_p20\ILSVRC2012_val_00000009__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000009.JPEG,jpeg_q90\ILSVRC2012_val_00000009__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000009.JPEG,jpeg_q75\ILSVRC2012_val_00000009__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000009.JPEG,jpeg_q60\ILSVRC2012_val_00000009__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000009.JPEG,resize_0p75\ILSVRC2012_val_00000009__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000009.JPEG,resize_0p5\ILSVRC2012_val_00000009__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000009.JPEG,crop_center_0p9\ILSVRC2012_val_00000009__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000009.JPEG,crop_center_0p75\ILSVRC2012_val_00000009__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000009.JPEG,rotate_p2\ILSVRC2012_val_00000009__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000009.JPEG,rotate_n2\ILSVRC2012_val_00000009__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000009.JPEG,format_png\ILSVRC2012_val_00000009__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000010.JPEG,brightness_0p85\ILSVRC2012_val_00000010__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000010.JPEG,brightness_1p15\ILSVRC2012_val_00000010__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000010.JPEG,contrast_0p85\ILSVRC2012_val_00000010__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000010.JPEG,contrast_1p15\ILSVRC2012_val_00000010__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000010.JPEG,colourshift_r_p20\ILSVRC2012_val_00000010__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000010.JPEG,colourshift_g_p20\ILSVRC2012_val_00000010__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000010.JPEG,colourshift_b_p20\ILSVRC2012_val_00000010__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000010.JPEG,jpeg_q90\ILSVRC2012_val_00000010__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000010.JPEG,jpeg_q75\ILSVRC2012_val_00000010__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000010.JPEG,jpeg_q60\ILSVRC2012_val_00000010__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000010.JPEG,resize_0p75\ILSVRC2012_val_00000010__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000010.JPEG,resize_0p5\ILSVRC2012_val_00000010__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000010.JPEG,crop_center_0p9\ILSVRC2012_val_00000010__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000010.JPEG,crop_center_0p75\ILSVRC2012_val_00000010__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000010.JPEG,rotate_p2\ILSVRC2012_val_00000010__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000010.JPEG,rotate_n2\ILSVRC2012_val_00000010__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000010.JPEG,format_png\ILSVRC2012_val_00000010__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000011.JPEG,brightness_0p85\ILSVRC2012_val_00000011__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000011.JPEG,brightness_1p15\ILSVRC2012_val_00000011__brightness_1.15.jpg,photometric,brightness,factor=1.15
base\ILSVRC2012_val_00000011.JPEG,contrast_0p85\ILSVRC2012_val_00000011__contrast_0.85.jpg,photometric,contrast,factor=0.85
base\ILSVRC2012_val_00000011.JPEG,contrast_1p15\ILSVRC2012_val_00000011__contrast_1.15.jpg,photometric,contrast,factor=1.15
base\ILSVRC2012_val_00000011.JPEG,colourshift_r_p20\ILSVRC2012_val_00000011__colourshift_r_p20.jpg,photometric,colour_shift,"channel=r,delta=+20"
base\ILSVRC2012_val_00000011.JPEG,colourshift_g_p20\ILSVRC2012_val_00000011__colourshift_g_p20.jpg,photometric,colour_shift,"channel=g,delta=+20"
base\ILSVRC2012_val_00000011.JPEG,colourshift_b_p20\ILSVRC2012_val_00000011__colourshift_b_p20.jpg,photometric,colour_shift,"channel=b,delta=+20"
base\ILSVRC2012_val_00000011.JPEG,jpeg_q90\ILSVRC2012_val_00000011__jpeg_q90.jpg,compression,jpeg_recompress,quality=90
base\ILSVRC2012_val_00000011.JPEG,jpeg_q75\ILSVRC2012_val_00000011__jpeg_q75.jpg,compression,jpeg_recompress,quality=75
base\ILSVRC2012_val_00000011.JPEG,jpeg_q60\ILSVRC2012_val_00000011__jpeg_q60.jpg,compression,jpeg_recompress,quality=60
base\ILSVRC2012_val_00000011.JPEG,resize_0p75\ILSVRC2012_val_00000011__resize_0.75.jpg,geometric,resize,factor=0.75
base\ILSVRC2012_val_00000011.JPEG,resize_0p5\ILSVRC2012_val_00000011__resize_0.50.jpg,geometric,resize,factor=0.50
base\ILSVRC2012_val_00000011.JPEG,crop_center_0p9\ILSVRC2012_val_00000011__crop_center_0.90.jpg,geometric,center_crop,fraction=0.90
base\ILSVRC2012_val_00000011.JPEG,crop_center_0p75\ILSVRC2012_val_00000011__crop_center_0.75.jpg,geometric,center_crop,fraction=0.75
base\ILSVRC2012_val_00000011.JPEG,rotate_p2\ILSVRC2012_val_00000011__rotate_+2.jpg,geometric,rotate,degrees=+2
base\ILSVRC2012_val_00000011.JPEG,rotate_n2\ILSVRC2012_val_00000011__rotate_-2.jpg,geometric,rotate,degrees=-2
base\ILSVRC2012_val_00000011.JPEG,format_png\ILSVRC2012_val_00000011__format_png.png,format,convert_png,format=PNG
base\ILSVRC2012_val_00000012.JPEG,brightness_0p85\ILSVRC2012_val_00000012__brightness_0.85.jpg,photometric,brightness,factor=0.85
base\ILSVRC2012_val_00000012.JPEG,brightness_1p15\ILSVRC2012_val_00000012__brightness_1.15.jpg,photometric,brightness,factor=1.15
